AssemblyName,AssemblyID,Organism
ASM298364v1,GCA_002983645.1,Escherichia coli O104:H4 FDAARGOS_349
ASM98676v1,GCA_000986765.1,Escherichia coli O104:H4 str. C227-11
ASM220910v2,GCA_002209105.2,Escherichia coli O104:H4 FDAARGOS_348
ASM29925v1,GCA_000299255.1,Escherichia coli O104:H4 str. 2009EL-2050
ASM29947v1,GCA_000299475.1,Escherichia coli O104:H4 str. 2009EL-2071 
ASM59964v1,GCA_000599645.1,Escherichia coli ST540
ASM59784v1,GCA_000597845.1,Escherichia coli ST540
ASM956v1,GCA_000009565.2,Escherichia coli BL21(DE3)
ASM2266v1,GCA_000022665.2,Escherichia coli BL21(DE3)
ASM188675v1,GCA_001886755.1,Escherichia coli MRSN346595
ASM188657v1,GCA_001886575.1,Escherichia coli MRSN346355
ASM188655v1,GCA_001886555.1,Escherichia coli MRSN346638
ASM97457v1,GCA_000974575.1,Escherichia coli K-12 ER3466
ASM97486v1,GCA_000974865.1,Escherichia coli K-12 ER3475
ASM97482v1,GCA_000974825.1,Escherichia coli K-12 ER3446
ASM97453v1,GCA_000974535.1,Escherichia coli K-12 ER3445
ASM97440v1,GCA_000974405.1,Escherichia coli K-12 ER3454
ASM97446v1,GCA_000974465.1,Escherichia coli K-12 ER3440
ASM97450v1,GCA_000974505.1,Escherichia coli K-12 ER3476
ASM80076v1,GCA_000800765.1,Escherichia coli K-12 ER3413
ASM80021v1,GCA_000800215.1,Escherichia coli ER2796
ASM155967v1,GCA_001559675.1,Escherichia coli K-12 C3026
ASM2234v1,GCA_000022345.1,Escherichia coli K-12 BW2952
MYMC4100,GCA_000499485.1,Escherichia coli K-12 MC4100
ASM1942v1,GCA_000019425.1,Escherichia coli K-12 DH10B
ASM155965v1,GCA_001559655.1,Escherichia coli K-12 DHB4
ASM156633v1,GCA_001566335.1,Escherichia coli K-12 JW5437-1 substr. MG1655
ASM154463v1,GCA_001544635.1,Escherichia coli K-12 MG1655
ASM104321v1,GCA_001043215.1,Escherichia coli NCM3722
ASM130816v1,GCA_001308165.1,Escherichia coli K-12 MG1655_TMP32XR2
ASM130806v1,GCA_001308065.1,Escherichia coli K-12 MG1655
ASM80120v1,GCA_000801205.1,Escherichia coli K-12 MG1655
ASM97488v1,GCA_000974885.1,Escherichia coli K-12 ER3435
ASM75055v1,GCA_000750555.1,Escherichia coli K-12 BW25113
EcRV308Chr,GCA_000952955.1,Escherichia coli K-12  RV308
ASM35018v1,GCA_000350185.1,Escherichia coli K-12 MDS42
EcoliK12AG100,GCA_000981485.1,Escherichia coli K-12 AG100
ASM102094v2,GCA_001020945.2,Escherichia coli K-12 GM4792
ASM102100v2,GCA_001021005.2,Escherichia coli K-12 GM4792
ASM284368v1,GCA_002843685.1,Escherichia coli K-12 MG1655
EcHMS174Chr,GCA_000953515.1,Escherichia coli K-12 HMS174
ASM1024v1,GCA_000010245.1,Escherichia coli K-12 W3110
ASM172350v1,GCA_001723505.1,Escherichia coli K-12 NEB 5-alpha
ASM211809v1,GCA_002118095.1,Escherichia coli HST04
ASM27010v1,GCA_000270105.1,Escherichia coli DH1
ASM2336v1,GCA_000023365.1,Escherichia coli DH1
ASM118366v1,GCA_001183665.1,Escherichia coli DH1Ec104
ASM83363v2,GCA_000833635.2,Escherichia coli USML2
ASM118364v1,GCA_001183645.1,Escherichia coli DH1Ec095
ASM118368v1,GCA_001183685.1,Escherichia coli DH1Ec169
ASM166307v1,GCA_001663075.1,Escherichia coli ER1821R
ASM145538v1,GCA_001455385.1,Escherichia coli CQSW20
ASM193251v1,GCA_001932515.1,Escherichia coli tolC-
ASM199918v1,GCA_001999185.1,Escherichia coli MGY
ASM305266v1,GCA_003052665.1,Escherichia coli ME8067
ASM336788v1,GCA_003367885.1,Escherichia coli C600
ASM293402v1,GCA_002934025.1,Escherichia coli DTU-1
ASM315081v1,GCA_003150815.1,Escherichia coli VH1
