DATASET_SIMPLEBAR

SEPARATOR COMMA
DATASET_LABEL,issaga_IS 1
COLOR,#000000

DATA
GCA_002310615.1,46
GCA_002310595.1,82
GCA_000027125.1,90
GCA_002310655.1,87
GCA_002787215.1,107
GCA_002788115.1,111
GCA_003571785.1,95
GCA_002968735.1,108
GCA_001900295.1,62
GCA_001900315.1,42
GCA_003030245.1,106
GCA_002278115.2,96
GCA_003180995.1,122
GCA_002011985.1,72
GCA_002012045.1,73
GCA_002591135.1,124
GCA_001890365.1,76
GCA_000219515.3,68
GCA_003410275.1,45
GCA_000599665.1,63
GCA_002164645.2,119
GCA_002164635.3,112
GCA_002925525.1,129
GCA_002142675.1,113
GCA_900092615.1,158
GCA_900174625.1,82
GCA_900174635.1,81
GCA_900184875.1,105
GCA_001677515.1,127
GCA_002310715.1,118
GCA_002310675.1,204
GCA_002310735.1,132
GCA_000829985.1,73
GCA_002855325.1,204
GCA_002855415.1,194
GCA_002853655.1,185
GCA_001735705.1,94
GCA_003033905.1,116
GCA_003254065.1,104
GCA_002142695.1,135
GCA_000814145.2,87
GCA_003030365.1,148
GCA_002211725.1,256
GCA_002788295.1,112
GCA_002787315.1,108
GCA_002056065.1,91
GCA_003204155.1,163
GCA_002192275.1,106
GCA_002201835.1,133
GCA_002180055.1,117
GCA_002192295.1,108
GCA_002180215.1,106
GCA_002180135.1,108
GCA_002968715.1,133
GCA_003073835.1,121
GCA_002993265.1,113
GCA_000019385.1,78
GCA_003591595.1,78
GCA_001559615.2,114
GCA_001559635.1,120
GCA_000017985.1,111
GCA_000833145.1,112
GCA_000023665.1,115
GCA_002078295.1,51
GCA_002078275.1,72
GCA_002090355.1,112
GCA_002079225.1,106
GCA_003287245.1,98
GCA_000830035.1,109
GCA_001039415.1,106
GCA_001900575.1,131
GCA_002105735.1,134
GCA_003030025.1,141
GCA_002860105.1,104
GCA_002786655.1,131
GCA_002787545.1,148
GCA_001900615.1,68
GCA_001900655.1,128
GCA_001900715.1,84
GCA_003180975.1,139
GCA_003443815.1,99
GCA_003443795.1,185
GCA_001682305.2,129
GCA_003571765.1,101
GCA_002012185.1,161
GCA_002012105.1,98
GCA_002012125.1,131
GCA_002934895.1,189
GCA_002903105.1,246
GCA_002903125.1,110
GCA_000210475.1,163
GCA_002077195.1,145
GCA_001888075.1,153
GCA_003352425.1,128
GCA_001750845.1,137
GCA_001900775.1,157
GCA_001678925.1,128
GCA_001900795.1,176
GCA_001900415.1,58
GCA_001900435.1,58
GCA_001900455.1,105
GCA_001900835.1,124
GCA_003111785.1,126
GCA_003031225.1,54
GCA_000017765.1,120
GCA_003231115.1,132
GCA_000005845.2,87
GCA_001308125.1,87
GCA_002494365.2,122
GCA_002237285.1,134
GCA_002879975.1,138
GCA_001886535.1,128
GCA_900474495.1,121
GCA_900186905.1,103
GCA_002007705.1,138
GCA_900474445.1,156
GCA_900474625.1,117
GCA_000257275.1,208
GCA_001029125.1,190
GCA_003013205.1,173
GCA_001276585.2,91
GCA_001901315.1,109
GCA_001901365.1,76
GCA_001900985.1,139
GCA_002812545.1,121
GCA_002870165.1,106
GCA_002850675.4,146
GCA_000987875.1,163
GCA_001936315.1,208
GCA_000988385.1,82
GCA_000599625.1,145
GCA_001610755.1,118
GCA_000212715.2,92
GCA_000968515.1,132
GCA_002945135.2,120
GCA_003051985.2,109
GCA_001969285.3,139
GCA_002761835.1,106
GCA_001860505.1,117
GCA_001596115.1,112
GCA_001677475.1,88
GCA_002854065.1,99
GCA_002058765.1,174
GCA_002196495.1,84
GCA_002196475.1,85
GCA_000520035.1,139
GCA_000008865.2,118
GCA_000245515.1,48
GCA_000497505.1,600
GCA_000012005.1,831
GCA_002310695.1,55
GCA_003204955.1,67
GCA_003571685.1,184
GCA_002948655.1,60
GCA_002787645.1,60
GCA_002012225.1,92
GCA_000784925.1,112
GCA_000026345.1,222
GCA_002214205.1,75
GCA_002357895.1,102
GCA_002357875.1,102
GCA_001721525.1,77
GCA_000227625.1,155
GCA_000019645.1,114
GCA_001485455.1,81
GCA_002966755.1,49
GCA_002763995.1,91
GCA_003095635.1,106
GCA_002310635.1,84
GCA_002853715.1,100
GCA_001420955.1,134
GCA_002357915.1,95
GCA_002310575.1,57
GCA_000013305.1,94
GCA_000148365.1,79
GCA_000813165.1,109
GCA_000014845.1,46
GCA_001021615.1,26
GCA_001021635.2,107
GCA_002796585.1,59
GCA_003571825.1,50
GCA_000743255.1,97
GCA_003491265.1,114
GCA_002763515.3,161
GCA_000007445.1,133
GCA_001900735.1,132
GCA_001900395.1,71
GCA_003181035.1,111
GCA_001663475.1,90
GCA_002012305.1,41
GCA_001618325.1,108
GCA_002012145.1,56
GCA_001675145.1,69
GCA_003346835.1,76
GCA_002844685.1,41
GCA_002944935.1,31
GCA_002951855.1,39
GCA_001566635.1,35
GCA_002953435.1,60
GCA_000025745.1,30
GCA_000493755.1,97
GCA_001513655.1,99
GCA_001683435.1,78
GCA_000284495.1,24
GCA_002764015.1,91
GCA_003344465.1,63
GCA_002009315.1,161
GCA_003020885.1,60
GCA_002846135.1,103
GCA_001566655.1,81
GCA_001660585.1,42
GCA_003546975.1,90
GCA_001021595.1,30
GCA_002024865.1,49
GCA_000026545.1,112
GCA_000285655.3,104
GCA_000183345.1,27
GCA_002285755.1,61
GCA_002237305.1,41
GCA_002215095.1,51
GCA_002215115.1,96
GCA_003044015.1,56
GCA_003043915.1,50
GCA_000800845.2,50
GCA_000026285.2,55
GCA_001566615.1,64
GCA_000010485.1,50
GCA_001280325.1,83
GCA_001280385.1,52
GCA_001280405.1,52
GCA_001280345.1,50
GCA_002863845.1,56
GCA_000233895.1,65
GCA_002142715.1,73
GCA_000148605.1,47
GCA_001693315.1,70
GCA_000013265.1,48
GCA_001577325.1,73
GCA_001677495.1,84
GCA_002055605.1,134
GCA_002057355.1,76
GCA_002057245.1,121
GCA_002853805.1,60
GCA_002853965.1,145
GCA_002310555.1,40
GCA_001644725.1,53
GCA_001420935.1,188
GCA_001679985.1,91
GCA_000026245.1,139
GCA_000819645.1,55
GCA_000801185.2,41
GCA_002156825.1,148
GCA_002156845.1,146
GCA_001051135.1,61
GCA_001515725.1,67
GCA_002803905.1,91
GCA_003336405.1,101
GCA_003325975.1,48
GCA_000332755.1,57
GCA_002796445.1,98
GCA_002056145.1,74
GCA_002055635.1,101
GCA_002180275.1,105
GCA_002180095.1,102
GCA_002999075.1,94
GCA_003288415.1,55
GCA_003073955.1,64
GCA_003073875.1,94
GCA_003073815.1,82
GCA_000725265.1,113
GCA_001900335.1,71
GCA_001900355.1,74
GCA_001900495.1,40
GCA_001900515.1,81
GCA_001900535.1,116
GCA_001901425.1,64
GCA_001900555.1,21
GCA_001721225.1,195
GCA_001721205.1,199
GCA_001007915.1,71
GCA_003342715.1,80
GCA_000971615.1,22
GCA_003402955.1,98
GCA_002860085.1,101
GCA_002787935.1,110
GCA_002893905.2,76
GCA_002803805.2,326
GCA_001900595.1,102
GCA_001900635.1,58
GCA_001900675.1,75
GCA_001900695.1,32
GCA_001900375.1,45
GCA_002899475.1,64
GCA_002220215.1,62
GCA_002996665.1,53
GCA_000831565.1,54
GCA_003122105.1,95
GCA_002011945.1,69
GCA_002012005.1,104
GCA_003355175.1,39
GCA_003351385.1,88
GCA_002302335.1,67
GCA_002302315.1,116
GCA_002393465.1,144
GCA_002393365.1,122
GCA_002589795.1,82
GCA_001721125.1,176
GCA_001886895.1,117
GCA_001886935.1,43
GCA_002952695.1,84
GCA_002214745.2,118
GCA_003491165.1,116
GCA_001678965.1,72
GCA_003570765.1,83
GCA_001900475.1,39
GCA_001900885.1,39
GCA_001901005.1,49
GCA_001900815.1,42
GCA_002116715.1,74
GCA_000967155.1,125
GCA_000026265.1,40
GCA_002953455.1,104
GCA_000258025.1,96
GCA_000147855.3,45
GCA_002163935.1,48
GCA_002163955.1,37
GCA_002163695.1,57
GCA_002163655.1,112
GCA_000468515.1,74
GCA_001901025.1,47
GCA_001901125.1,39
GCA_001901145.1,90
GCA_001901165.1,95
GCA_001901185.1,58
GCA_001901215.1,97
GCA_001901045.1,47
GCA_001901065.1,106
GCA_001901085.1,22
GCA_003586045.1,98
GCA_001901105.1,95
GCA_001542675.2,236
GCA_003433275.1,119
GCA_003112165.1,148
GCA_000010745.1,118
GCA_000464955.2,41
GCA_000299455.1,120
GCA_003112245.1,147
GCA_000010765.1,143
GCA_003112145.1,171
GCA_002844165.1,183
GCA_000017745.1,109
GCA_001693635.1,179
GCA_003112225.1,163
GCA_003112185.1,166
GCA_000091005.1,163
GCA_003112205.1,57
GCA_002716885.1,53
GCA_002215155.1,92
GCA_003176855.1,42
GCA_003288295.1,158
GCA_000801165.1,33
GCA_003288275.1,154
GCA_001901465.1,31
GCA_001900925.1,37
GCA_001900905.1,54
GCA_001900945.1,46
GCA_001900965.1,54
GCA_001901405.1,79
GCA_001660565.1,101
GCA_001901445.1,65
GCA_003203755.1,156
GCA_000010385.1,43
GCA_002863885.1,214
GCA_002863685.1,219
GCA_002863665.1,219
GCA_003413625.1,116
GCA_000184185.1,43
GCA_000258145.1,43
GCA_002237325.1,57
GCA_002811555.2,92
GCA_003268695.1,82
GCA_001442495.1,104
GCA_001027225.1,582
GCA_000020185.1,700
GCA_000012025.1,581
GCA_000953035.1,447
GCA_001578125.1,464
GCA_002240115.1,471
GCA_002240135.1,450
GCA_002442995.1,465
GCA_000022245.1,445
GCA_000743955.1,444
GCA_001580175.1,473
GCA_000007405.1,450
GCA_000006925.2,456
GCA_001579965.1,471
GCA_002240075.1,450
GCA_002240095.1,455
GCA_000013585.1,403
GCA_003855135.1,480
GCA_000783735.2,480
GCA_001021855.1,444
GCA_000743995.1,459
GCA_002142635.1,382
GCA_002224625.1,370
GCA_002224605.1,387
GCA_002224465.1,429
GCA_002150905.1,380
GCA_003265245.1,419
GCA_002442535.1,384
GCA_003855115.1,400
GCA_001558295.2,402
GCA_001518855.1,380
GCA_000092525.1,381
